Date,Open,High,Low,Close,Volume
13-07-1994,1.8799,1.9286,1.8654,1.9286,82956800
14-07-1994,1.9239,1.9336,1.8849,1.8993,81446400
15-07-1994,1.8993,1.9239,1.8701,1.8947,45520000
18-07-1994,2.0065,2.0162,1.9286,1.9675,150499200
19-07-1994,1.9726,1.9726,1.9336,1.9531,70126400
20-07-1994,1.948,1.948,1.8654,1.8849,112604800
21-07-1994,1.8947,1.9044,1.8506,1.8604,85740800
22-07-1994,1.8896,1.9773,1.8409,1.9699,152916800
25-07-1994,1.9726,2.0115,1.9578,1.9944,51513600
26-07-1994,1.9921,1.9967,1.9383,1.9628,54308800
27-07-1994,1.9628,1.9628,1.9286,1.9286,29291200
28-07-1994,1.9286,1.9578,1.9188,1.9286,39899200
29-07-1994,1.9434,2.0115,1.9336,2.0065,67064000
01-08-1994,2.0115,2.0895,2.0065,2.0797,83934400
02-08-1994,2.0941,2.1284,2.0505,2.0575,95249600
03-08-1994,2.0941,2.1039,2.07,2.0797,58771200
04-08-1994,2.0844,2.0895,2.0552,2.0552,40192000
05-08-1994,2.0505,2.0602,2.0357,2.0454,31204800
08-08-1994,2.0408,2.0649,2.026,2.0649,34537600
09-08-1994,2.0649,2.0992,2.0552,2.0844,40198400
10-08-1994,2.0844,2.1187,2.0747,2.1089,48646400
11-08-1994,2.0992,2.1818,2.0992,2.1526,81428800
12-08-1994,2.1577,2.1674,2.1382,2.1526,38088000
15-08-1994,2.1623,2.1623,2.1187,2.121,36113600
16-08-1994,2.1382,2.1479,2.1039,2.1382,56779200
17-08-1994,2.1577,2.1915,2.1479,2.1771,79790400
18-08-1994,2.1771,2.1966,2.1577,2.1623,61276800
19-08-1994,2.1771,2.1818,2.1331,2.1382,74761600
22-08-1994,2.1428,2.1428,2.1234,2.1284,62835200
23-08-1994,2.1284,2.1966,2.1234,2.1623,58363200
24-08-1994,2.1623,2.1818,2.1623,2.1721,35246400
25-08-1994,2.1771,2.211,2.1721,2.1892,55174400
26-08-1994,2.1966,2.25,2.1915,2.2161,60961600
